type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Movie;37 Seconds;Hikari;Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi;Japan;January 31, 2020;2020;TV-MA;116 min;Dramas, International Movies;Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.
Movie;Mariposa;Fajar Bustomi;Adhisty Zara, Angga Yunanda, Dannia Salsabila, Abun Sungkar, Junior Roberts, Syakir Daulay, Ariyo Wahab, Ersa Mayori, Baim Wong, Irgi Fahrezi;Indonesia;March 4, 2021;2020;TV-14;116 min;Comedies, International Movies, Romantic Movies;New student Acha falls for Iqbal, a high-achieving student who's torn between love and family pressure.
Movie;Intuition;Alejandro Montiel;Luisana Lopilato, Joaquín Furriel, Rafael Ferro, Maite Lanata, Juan Manuel Guilera, Abel Ayala, Sebastián Mogordoy, Delfina Chaves, Marita Ballesteros, Miriam Odorico;Argentina;May 28, 2020;2020;TV-MA;116 min;Dramas, International Movies, Thrillers;"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
Movie;Rogue City;Olivier Marchal;Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal;France;October 30, 2020;2020;TV-MA;116 min;Dramas, International Movies, Thrillers;Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.
Movie;Yeh Ballet;Sooni Taraporevala;Julian Sands, Manish Chauhan, Achintya Bose, Jim Sarbh, Danish Husain, Vijay Maurya, Heeba Shah, Kalyanee Mulay;India;February 21, 2020;2020;TV-MA;117 min;Dramas, International Movies;Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.
Movie;Asura Guru;A. Raajdheep;Vikram Prabhu, Subbaraju, Mahima Nambiar, Yogi Babu, Jagan;India;June 13, 2020;2020;TV-14;117 min;Dramas, International Movies;For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.
Movie;Hillbilly Elegy;Ron Howard;Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos;United States;November 24, 2020;2020;R;117 min;Dramas;An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.
Movie;Fierce;Anna Wieczur-Bluszcz;Katarzyna Sawczuk, Maciej Zakościelny, Anita Sokołowska, Julia Kamińska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, Michał Piprowski, Urszula Dudziak, Krzysztof Ibisz;Poland;December 2, 2020;2020;TV-MA;118 min;Comedies, Dramas, International Movies;A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.
Movie;Sergio;Greg Barker;Wagner Moura, Ana de Armas, Brían F. O'Byrne, Clemens Schick, Bradley Whitford;United States;April 17, 2020;2020;R;119 min;Dramas, Independent Movies;Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.
Movie;The Midnight Sky;George Clooney;George Clooney, Felicity Jones, Kyle Chandler, Demián Bichir, David Oyelowo, Tiffany Boone, Caoilinn Springall, Sophie Rundle, Ethan Peck;United States;December 23, 2020;2020;PG-13;119 min;Dramas;In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth.
Movie;Rose Island;Sydney Sibilia;Elio Germano, Matilda De Angelis, Tom Wlaschiha, Luca Zingaretti, Fabrizio Bentivoglio, Leonardo Lidi, François Cluzet;Italy;December 9, 2020;2020;TV-14;119 min;Comedies, Dramas, International Movies;An idealistic engineer builds his own island off the coast of Italy and declares it a nation, drawing the attention of the world — and the government.
Movie;Layla Majnun;Monty Tiwa;Reza Rahadian, Acha Septriasa, Baim Wong, Beby Tsabina, Dian Nitami, Uli Herdinansyah, Natasha Rizki, Eriska Rein, Landung Simatupang, August Melasz, Chantiq Schagerl, Cut Ashifa, Aida Cabiyeva, Murad Ismayil, Nadya Arina, Augie Fantinus, Angelia Livie, Ernanto Kusumo;Indonesia;February 11, 2021;2020;TV-14;119 min;Dramas, International Movies, Romantic Movies;While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way.
Movie;Blue, Painful, Fragile;Shunsuke Kariyama;Ryo Yoshizawa, Hana Sugisaki, Amane Okayama, Honoka Matsumoto, Hiroya Shimizu, Nana Mori, Mizuki Kayashima, Ken Mitsuishi, Tasuku Emoto;Japan;February 24, 2021;2020;TV-14;119 min;International Movies, Thrillers;Kaede and Hisano form a club to change the world. When Hisano vanishes, Kaede throws himself into bringing the club back to its idealistic roots.
Movie;Kambili: The Whole 30 Yards;Kayode Kasum;Nancy Isime, Jide Kene Achufusi, Sharon Ooja, Mawuli Gavor, Venita Akpofure, Koye Kekere Ekun, Elvina Ibru, Uzor Arukwe, Toyin Abraham;Nigeria;June 18, 2021;2020;TV-14;119 min;Comedies, International Movies, Romantic Movies;Determined to marry before she turns 30, a woman tries to change her impulsive ways and do whatever it takes to win back the boyfriend who left her.
Movie;Illegal Woman;Ramon Térmens;Daniel Faraldo, Isak Férriz, Yolanda Sey, Raquel Camón, Adeline Flaun, Klaudia Dudová, Boris Ruiz, Àngels Bassas, Ahmad Alhamsho, Abdel Aziz El Mountassir;Spain;May 11, 2021;2020;TV-MA;119 min;Dramas, International Movies;An immigration lawyer and a Nigerian woman caught in a ring of corruption team up to uncover the truth behind a suspicious death in a detention center.
Movie;This Lady Called Life;Kayode Kasum;Bisola Aiyeola, Efa Iwara, Molawa Onajobi, Tina Mba, Wale Ojo, Jemima Osunde, Lota Chukwu, Samuel Asa'ah, Michael Ejoor, Uche Elumelu;Nigeria;April 23, 2021;2020;TV-14;120 min;Dramas, International Movies, Romantic Movies;Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef.
Movie;System Crasher;Nora Fingscheidt;Helena Zengel, Albrecht Schuch, Gabriela Maria Schmeide, Lisa Hagmeister, Melanie Straub, Victoria Trauttmansdorff, Maryam Zaree, Tedros Teclebrhan;Germany;February 21, 2020;2020;TV-MA;120 min;Dramas, Independent Movies, International Movies;Traumatized, violent and yearning for love, 9-year-old Benni bonds with a gruff mentor as child-services workers struggle to find her a home.
Movie;Adú;Salvador Calvo;Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas;Spain;July 1, 2020;2020;TV-MA;120 min;Dramas, International Movies;Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.
Movie;Guilty;Ruchi Narain;Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar;India;March 6, 2020;2020;TV-MA;120 min;Dramas, International Movies;When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.
Movie;The Book of Sun;Faris Godus;Baraa Alem, Ismail Alhassan, Ahmed Saddam, Sohayb Godus, Nawaf Alshubaili, Eyad Ayman Kaifi;Saudi Arabia;October 1, 2020;2020;TV-14;120 min;Comedies, Independent Movies, International Movies;A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future.
Movie;Dolly Kitty Aur Woh Chamakte Sitare;Alankrita Shrivastava;Bhumi Pednekar, Konkona Sen Sharma, Vikrant Massey, Amol Parashar, Aamir Bashir, Karan Kundra, Kalp Shah, Hearty Singh, Neelima Azim, Kubbra Sait;India;September 18, 2020;2020;TV-MA;120 min;Dramas, Independent Movies, International Movies;A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.
Movie;Madam Chief Minister;Subhash Kapoor;Richa Chadda, Saurabh Shukla, Manav Kaul, Shubrajyoti Barat, Akshay Oberoi, Boloram Das, Nikhil Vijay, Raviza Chauhan;India;April 1, 2021;2020;TV-14;121 min;Dramas, International Movies;Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.
Movie;A Fall from Grace;Tyler Perry;Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry;United States;January 17, 2020;2020;TV-MA;121 min;Dramas, Thrillers;When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.
Movie;Shimla Mirchi;Ramesh Sippy;Rajkummar Rao, Tarun Wadhwa, Rakul Preet Singh, Kiran Juneja, Hema Malini, Kamlesh Gill, Shakti Kapoor, Kanwaljeet Singh;India;January 27, 2020;2020;TV-14;121 min;Comedies, International Movies, Romantic Movies;A young man who gets tongue-tied around women writes a love letter to his crush, but it ends up in the hands of her mother, who thinks it's for her.
Movie;The Silent War;Alfonso Cortés-Cavanillas;Asier Etxeandia, Marian Álvarez, Hugo Silva, Aitor Luna, Imanol Arias, Olimpia Melinte, Ruth Díaz, Jorge Basanta, Stephanie Gil, Roberto Bonacini;Spain;February 3, 2020;2020;TV-MA;122 min;Dramas, International Movies, Thrillers;"Alluding to ""For Whom the Bell Tolls,"" this drama follows a fugitive guerrilla, deaf after an explosion, as he tries to survive in 1944 northern Spain."
Movie;All Day and a Night;Joe Robert Cole;Jeffrey Wright, Ashton Sanders, Regina Taylor, Yahya Abdul-Mateen II, Isaiah John, Kelly Jenrette, Shakira Ja-nai Paye;United States;May 1, 2020;2020;R;122 min;Dramas, Independent Movies;While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.
Movie;The Boys in the Band;Joe Mantello;Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins;United States;September 30, 2020;2020;R;122 min;Dramas, LGBTQ Movies;At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.
Movie;Our Lady of San Juan, Four Centuries of Miracles;Noé González;Alejandro Peña Arenzana, Alejandra Yañez Reynoso, Giuliana Baker, Mauricio López, Antia Nazarely Reynoso, Felipe De Jesus Hernández, Fernanda Michelle Torres;Mexico;February 2, 2021;2020;TV-PG;123 min;Dramas, Faith & Spirituality, International Movies;In this dramatization, the Virgin Mary works a miracle on a girl in 1623 Mexico. Four centuries later, a family make a pilgrimage for their own child.
Movie;Classmates Minus;Huang Hsin-Yao;Shih Ming-shuai, Cheng Jen-shuo, Nadow Lin, Liu Kuan-ting, Chen Yi-wen, Lotus Wang, Ada Pan, Hung Shiao-ling, Jacqueline Zhu, Evelyn Zheng Yu-tong;Taiwan;February 20, 2021;2020;TV-MA;123 min;Comedies, Dramas, Independent Movies;Four school buddies — a director, a temp worker, an insurance salesman and a paper craftsman — grapple with unfulfilled dreams amid middle age ennui.
Movie;Little Big Women;Joseph Hsu;Chen Shu-fang, Hsieh Ying-xuan, Vivian Hsu, Sun Ke-fang, Ding Ning, Buffy Chen, Chang Han, Lung Shao-hua, Honduras, Weber Yang, Sara Yu, Janine Chang;Taiwan;February 5, 2021;2020;TV-14;123 min;Dramas, International Movies;A family grapples with the passing of their estranged father and the remnants of the life he led during his absence.
Movie;Cut Throat City;RZA;Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker, Keean Johnson, Kat Graham, T.I., Terrence Howard, Rob Morgan, Eiza González, Ethan Hawke, Wesley Snipes;United States;January 20, 2021;2020;R;123 min;Dramas;Bereft of opportunities in the aftermath of Hurricane Katrina, a young man and his close friends turn to a life of crime in the 9th Ward of New Orleans.
Movie;The Outpost;Rod Lurie;Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Jack Kesy, Cory Hardrict, Milo Gibson, Jacob Scipio, Taylor John Smith, Jonathan Yunger, Alexander Arnold;United States, Bulgaria;October 1, 2020;2020;R;123 min;Action & Adventure, Dramas;A group of vastly outnumbered U.S. soldiers at a remote Afghanistan base must fend off a brutal offensive by Taliban fighters in the Battle of Kamdesh.
Movie;Rebecca;Ben Wheatley;Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson;United Kingdom;October 21, 2020;2020;PG-13;123 min;Dramas, Romantic Movies, Thrillers;A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.
Movie;Romance Doll;Yuki Tanada;Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro;Japan;July 24, 2020;2020;TV-MA;124 min;Dramas, International Movies, Romantic Movies;Love came naturally for married couple Sonoko and Tetsuo. But his secret profession as a love doll designer clashes with her deeper, darker secret.
Movie;Eurovision Song Contest: The Story of Fire Saga;David Dobkin;Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, Pierce Brosnan;United States;June 26, 2020;2020;PG-13;124 min;Comedies, Music & Musicals, Romantic Movies;Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.
Movie;Jingle Jangle: A Christmas Journey;David E. Talbert;Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer;United States;November 13, 2020;2020;PG;124 min;Children & Family Movies, Music & Musicals;Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life.
Movie;The Forty-Year-Old Version;Radha Blank;Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney;United States;October 9, 2020;2020;R;124 min;Comedies, Dramas, Independent Movies;Desperate for a breakthrough as she nears the big 4-0, struggling New York City playwright Radha finds inspiration by reinventing herself as a rapper.
Movie;Enola Holmes;Harry Bradbeer;Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Frances de la Tour, Fiona Shaw;United Kingdom;September 23, 2020;2020;PG-13;124 min;Action & Adventure, Children & Family Movies, Dramas;While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.
Movie;The Old Guard;Gina Prince-Bythewood;Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Van Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor;United States;July 10, 2020;2020;R;126 min;Action & Adventure;Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.
Movie;Krishna and His Leela;Ravikanth Perepu;Siddhu Jonnalagadda, Shraddha Srinath, Seerat Kapoor, Shalini Vadnikatti, Jhansi, Viva Harsha, Sampath Raj, Samyuktha Hornad;India;June 25, 2020;2020;TV-MA;126 min;International Movies, Romantic Movies;Torn between his past and present girlfriends, a confused bachelor’s indecisiveness spins a web of lies and cheating as he struggles to commit.
Movie;Ginny Weds Sunny;Puneet Khanna;Yami Gautam, Vikrant Massey, Suhail Nayyar, Ayesha Raza Mishra, Isha Talwar, Rajeev Gupta;India;October 9, 2020;2020;TV-MA;126 min;Comedies, International Movies, Romantic Movies;Eager to marry but constantly rejected by women, a bachelor hopes to win over a former crush by accepting help from an unlikely source: her mother.
Movie;La diosa del asfalto;Julián Hernández;Ximena Romo, Mabel Cadena, Alejandra Herrera, Nelly González, Samantha Orozco, Axel Arenas, Esteban Caicedo, Paulina Goto, Raquel Robles, Baby Bátiz, Pascacio López, Juán Carlos Torres, Javier Oliván, Claudia Lobo, Giovanna Zacarías;Mexico;August 11, 2021;2020;TV-MA;127 min;Dramas, Independent Movies, International Movies;A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past.
Movie;Kilometers and Kilometers;Jeo Baby;Tovino Thomas, India Jarvis, Joju George, Sidhartha Siva, Basil Joseph, Sudheesh, Parvathi T, Pauly Valsan;India;January 27, 2021;2020;TV-MA;127 min;Comedies, Dramas, Independent Movies;When a debt-ridden man reluctantly agrees to drive an American tourist around India, their stark differences lead to bickering… and unexpected bonding.
Movie;MOTHER;Tatsushi Omori;Masami Nagasawa, Sadao Abe, Daiken Okudaira;Japan;November 3, 2020;2020;TV-14;127 min;Dramas, International Movies;Shuhei’s erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy.
Movie;Pieces of a Woman;Kornél Mundruczó;Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails;Canada, Hungary, United States;January 7, 2021;2020;R;128 min;Dramas;A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief.
Movie;Wasp Network;Olivier Assayas;Penélope Cruz, Edgar Ramírez, Wagner Moura, Gael García Bernal, Ana de Armas, Leonardo Sbaraglia;France, Brazil, Spain, Belgium;June 19, 2020;2020;TV-MA;128 min;Dramas, International Movies, Thrillers;Based on a true and gripping story: Cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island, but at a high personal cost.
Movie;One Day We'll Talk About Today;Angga Dwimas Sasongko;Rachel Amanda, Rio Dewanto, Shelia Dara, Donny Damara, Susan Bachtiar, Oka Antara, Niken Anjani, Ardhito Pramono;Indonesia;May 23, 2020;2020;TV-G;128 min;Dramas, International Movies;Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.
Movie;The Trial of the Chicago 7;Aaron Sorkin;Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman;United States, United Kingdom, India;October 16, 2020;2020;R;130 min;Dramas;What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
Movie;Malang;Mohit Suri;Anil Kapoor, Aditya Roy Kapur, Disha Patani, Kunal Khemu, Makrand Deshpande, Vatsal Seth, Amruta Khanvilkar, Shaad Randhawa;India;May 14, 2020;2020;TV-MA;131 min;Action & Adventure, International Movies, Romantic Movies;Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.
Movie;The Prom;Ryan Murphy;Meryl Streep, James Corden, Nicole Kidman, Kerry Washington, Andrew Rannells, Keegan-Michael Key, Jo Ellen Pellman, Ariana DeBose, Mary Kay Place, Kevin Chamberlin, Tracey Ullman, Logan Riley, Sofia Deler, Nico Greetham, Nathaniel J. Potvin;United States;December 11, 2020;2020;PG-13;132 min;Comedies, LGBTQ Movies, Music & Musicals;A group of down-on-their-luck Broadway stars shake up a small Indiana town as they rally behind a teen who just wants to attend prom with her girlfriend.
Movie;Forensic;Akhil Paul, Anas Khan;Tovino Thomas, Mamtha Mohandas, Renji Panicker, Saiju Kurup, Reba Monica John, Pratap Pothen, Giju John, Sreekanth Murali;India;June 7, 2020;2020;TV-14;132 min;International Movies, Thrillers;A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.
Movie;Torbaaz;Girish Malik;Sanjay Dutt, Nargis Fakhri, Rahul Dev, Priyanka Verma, Kuwaarjeet Chopraa, Aishan Jawaid Malik, Rahul Mittra, Gavie Chahal, Humayun Shams Khan, Babrak Akbari;India;December 11, 2020;2020;TV-MA;133 min;Dramas, International Movies, Sports Movies;At an Afghanistan refugee camp, an ex-army doctor seeks to bring children joy through cricket — and soon realizes that the stakes go beyond the sport.
Movie;MANK;David Fincher;Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann;United States;December 4, 2020;2020;R;133 min;Dramas, Independent Movies;1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish “Citizen Kane.”
Movie;The Kissing Booth 2;Vince Marcello;Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young;United Kingdom, United States;July 24, 2020;2020;TV-14;133 min;Comedies, Romantic Movies;With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.
Movie;Time to Hunt;Yoon Sung-hyun;Lee Je-hoon, Ahn Jae-hong, Choi Woo-shik, Park Jeong-min, Park Hae-soo;South Korea;April 23, 2020;2020;TV-MA;135 min;International Movies, Thrillers;Wanting to leave their dystopian world behind for a faraway paradise, three outlaws plot a money heist — and draw the attention of a vicious killer.
Movie;I'm Thinking of Ending Things;Charlie Kaufman;Jessie Buckley, Jesse Plemons, Toni Collette, David Thewlis, Guy Boyd;United States;September 4, 2020;2020;R;135 min;Dramas, Independent Movies;Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.
Movie;RattleSnake - The Ahanna Story;Ramsey Nouah;Stan Nze, Osas Ighodaro, Bucci Franklin, Odera Adimorah, Efa Iwara, Emeka Nwagbaraocha, Elma Mbadiwe, Norbert Young, Brutus Richard, Chinyere Wilfred, Sonny McDon, Chiwetalu Agu;Nigeria;July 2, 2021;2020;TV-MA;136 min;Dramas, International Movies, Thrillers;In this stylish remake, a disillusioned mastermind assembles a team to pull off a series of spectacular heists — but his crimes make too many enemies.
Movie;The Hater;Jan Komasa;Maciej Musiałowski, Agata Kulesza, Danuta Stenka, Vanessa Aleksander, Maciej Stuhr, Jacek Koman, Adam Gradowski, Piotr Biedron, Martynika Kosnica;Poland;July 29, 2020;2020;TV-MA;136 min;Dramas, International Movies, Thrillers;A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences.
Movie;Miss India;Narendra Nath;Keerthy Suresh, Dr. Rajendra Prasad, Jagapathi Babu, V. K. Naresh, Nadhiya, Naveen Chandra, Sumanth Shailendra, Kamal Kamaraju, Praveen, Pujitha Ponnada, Divya Sripada;India;November 4, 2020;2020;TV-PG;136 min;Dramas, International Movies;Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.
Movie;Uma Maheswara Ugra Roopasya;Venkatesh Maha;Satya Dev, VK Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa;India;July 30, 2020;2020;TV-MA;137 min;Comedies, Dramas, Independent Movies;Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker.
Movie;Bheeshma;Venky Kudumula;Nitin Reddy, Rashmika Mandanna, Sampath Raj, Jishu Sengupta, Anant Nag;India;April 25, 2020;2020;TV-14;138 min;Action & Adventure, Comedies, International Movies;Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.
Movie;The Devil All The Time;Antonio Campos;Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen;United States;September 16, 2020;2020;R;139 min;Dramas, Thrillers;Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Movie;Love Aaj Kal;Imtiaz Ali;Kartik Aaryan, Sara Ali Khan, Randeep Hooda, Arushi Sharma, Simone Singh, Monika Pawar, Amrit Arora, Siddharth Kak;India;April 27, 2020;2020;TV-MA;140 min;Dramas, International Movies, Romantic Movies;When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom.
Movie;Offering to the Storm;Fernando González Molina;"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Álvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia Sánchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia López Arnaiz, Pedro Casablanc";Spain, Germany;July 24, 2020;2020;TV-MA;140 min;International Movies, Thrillers;Amaia investigates several suspicious infant deaths and horrific rituals. Meanwhile, people around her risk grave danger. Part 3 in the Baztan Trilogy.
Movie;The Fisherman's Diary;Enah Johnscott;Kang Quintus, Faith Fidel, Casson Chinepoh, Ramsey Nouah, Ndamo Damaris, Neba Godwill Awantu, Onyama Laura, Prince Sube, Daphne Nije, Zoe Elora Ebai Mayohchu;Cameroon;April 4, 2021;2020;TV-MA;143 min;Dramas, International Movies;Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education
Movie;Psycho;Mysskin;Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram, Rajkumar Pitchumani;India;May 1, 2020;2020;TV-MA;143 min;Horror Movies, International Movies, Thrillers;As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.
Movie;Varane Avashyamund;Anoop Sathyan;Shobana, Suresh Gopi, Dulquer Salmaan, Kalyani Priyadarshan, K.P.A.C. Lalitha, Sarvajith Santosh Sivan, Urvashi, Johny Antony, Lalu Alex, Lal Jose;India;April 20, 2020;2020;TV-14;144 min;Comedies, Dramas, International Movies;At an apartment complex, the lives of a mother, a daughter seeking an arranged marriage, a military retiree and a young man become intertwined.
Movie;Uppena;Buchi Babu Sana;Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi;India;April 14, 2021;2020;TV-14;145 min;Dramas, International Movies, Romantic Movies;The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father.
Movie;Ghost Stories;Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar;Janhvi Kapoor, Sobhita Dhulipala, Sukant Goel, Gulshan Devaiah, Mrunal Thakur, Avinash Tiwary, Vijay Varma, Sagar Arya, Surekha Sikri, Pavail Gulati;India;January 1, 2020;2020;TV-MA;145 min;Horror Movies, International Movies, Thrillers;"The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers."
Movie;World Famous Lover;Kranthi Madhav;Vijay Deverakonda, Raashi Khanna, Aishwarya Rajesh, Catherine Tresa, Izabelle Leite;India;April 15, 2020;2020;TV-MA;147 min;Dramas, International Movies, Romantic Movies;When his frustrated girlfriend decides to leave him, a struggling writer gets down to work on stories of romance he hopes will win her back.
Movie;Omo Ghetto: the Saga;JJC Skillz, Funke Akindele;Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs;Nigeria;September 10, 2021;2020;TV-MA;147 min;Action & Adventure, Comedies, Dramas;Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.
